"x" "y" "equ"
349156.2 6790525 "Ecoles"
351800.4 6786774.3 "Ecoles"
351572.6 6787384.2 "Ecoles"
352937.8 6789418.9 "Ecoles"
352838.8 6790300.7 "Ecoles"
352136 6788929.8 "Ecoles"
351953.4 6788825.3 "Ecoles"
351000 6789730.3 "Ecoles"
352460.3 6786210.5 "Ecoles"
352771.8 6786266.9 "Ecoles"
354100.5 6786914.3 "Ecoles"
352461.5 6787027.7 "Ecoles"
353441.3 6786456.8 "Ecoles"
353681.2 6786800.6 "Ecoles"
351943.6 6789788 "Ecoles"
350778.9 6788783.4 "Ecoles"
352342.2 6789640.9 "Ecoles"
350261.6 6790754.8 "Ecoles"
352862.4 6788180.6 "Ecoles"
349916.2 6788456.8 "Ecoles"
353882.3 6790143.9 "Ecoles"
352327.6 6790263.6 "Ecoles"
353450.3 6791440.3 "Ecoles"
350020.7 6790193.4 "Ecoles"
353383.6 6788230.2 "Ecoles"
354340.2 6787926.8 "Ecoles"
351725 6789950.5 "Ecoles"
351036.2 6787894.5 "Ecoles"
351406.6 6788921.9 "Ecoles"
353205.2 6789463.6 "Ecoles"
353814.5 6786297.6 "Ecoles"
349719 6789140.5 "Ecoles"
349677.6 6790765.8 "Ecoles"
352988.8 6786541.2 "Ecoles"
353358.6 6790794.1 "Ecoles"
354258.1 6787056.3 "Ecoles"
349265.9 6789435.2 "Ecoles"
351659.9 6788341.4 "Ecoles"
351870.4 6789645.9 "Ecoles"
350911 6786927.8 "Ecoles"
352876.7 6791691.3 "Ecoles"
353001.4 6792293 "Ecoles"
349852.6 6788738 "Ecoles"
353720.6 6787604.4 "Ecoles"
353147.4 6791237.2 "Ecoles"
351647.6 6787918.5 "Ecoles"
351788 6787892.9 "Ecoles"
354117.6 6789725.9 "Ecoles"
351486.4 6790700.6 "Ecoles"
353469.9 6787306.2 "Ecoles"
350494.6 6791503 "Ecoles"
350620.1 6789441.2 "Ecoles"
353534.5 6788764.2 "Ecoles"
354640.9 6786786.3 "Ecoles"
351767.8 6789259.4 "Ecoles"
352704.6 6787419.4 "Ecoles"
351576.1 6788746.4 "Ecoles"
351014 6787314.2 "Ecoles"
355473.79 6791246.39 "Pharmacies"
353889.27 6786229.2 "Pharmacies"
352995.97 6791972.83 "Pharmacies"
352102.09 6786536.58 "Pharmacies"
352361.63 6788850.44 "Pharmacies"
349860.82 6790400.07 "Pharmacies"
349831.58 6790789.29 "Pharmacies"
353177.28 6786281.23 "Pharmacies"
352368.18 6787326.87 "Pharmacies"
351750 6789250 "Pharmacies"
350777.26 6786509.42 "Pharmacies"
351545.77 6789142.76 "Pharmacies"
352340.64 6788478.11 "Pharmacies"
351850 6789650 "Vêtements"
351850 6789450 "Vêtements"
351850 6789650 "Vêtements"
351850 6789550 "Vêtements"
351980.12 6788565.5 "Vêtements"
351889.5 6788586.22 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
353816.09 6786921.41 "Pharmacies"
352055.12 6789345.35 "Vêtements"
354743.74 6787069.4 "Pharmacies"
352200.66 6789238.49 "Vêtements"
351931.19 6789641.67 "Vêtements"
351821.3 6789352.76 "Vêtements"
352149.79 6789132.48 "Vêtements"
352149.79 6789132.48 "Vêtements"
351927.96 6789189.75 "Vêtements"
352005.7 6789185.62 "Vêtements"
353641.66 6789023.36 "Pharmacies"
351980.05 6789215.56 "Vêtements"
351893.82 6789379.65 "Vêtements"
351882.35 6789390.74 "Vêtements"
351894.53 6789393.63 "Vêtements"
351883.4 6789411.71 "Vêtements"
351991.09 6789753.35 "Vêtements"
351995.73 6789728.58 "Vêtements"
352069.81 6789912.54 "Vêtements"
349283.49 6790415.02 "Pharmacies"
351951.54 6789402.91 "Vêtements"
351963.52 6789402.31 "Vêtements"
352027.44 6788681.28 "Vêtements"
352027.44 6788681.28 "Vêtements"
352036.6 6788621 "Vêtements"
352036.6 6788621 "Vêtements"
351962.2 6789202.21 "Vêtements"
351976.67 6789567.09 "Vêtements"
351990.42 6789578.97 "Vêtements"
352003.87 6789566.37 "Vêtements"
350895.9 6789522.95 "Pharmacies"
351971.55 6789364.77 "Vêtements"
353991.69 6788020.69 "Pharmacies"
351799.03 6789393.41 "Vêtements"
351811.02 6789393.32 "Vêtements"
351810.84 6789425.55 "Vêtements"
349974.71 6790720.67 "Vêtements"
353371.37 6790466.84 "Pharmacies"
352193.64 6787625.09 "Vêtements"
351743.96 6789430.59 "Vêtements"
351796.15 6789075.4 "Vêtements"
352002.16 6789643.33 "Vêtements"
350129.53 6789074.77 "Pharmacies"
351449.89 6788188.84 "Pharmacies"
351276.87 6787930.36 "Vêtements"
351185 6787830.43 "Pharmacies"
351883.53 6789083.18 "Vêtements"
351882.31 6789025.23 "Pharmacies"
351871.54 6789083.28 "Vêtements"
351880.52 6788989.77 "Vêtements"
351850.73 6789564.13 "Vêtements"
351870.19 6789614.93 "Vêtements"
351890.68 6789220.78 "Vêtements"
351890.09 6789202.8 "Vêtements"
351879.87 6789257.35 "Vêtements"
351875.95 6789443.5 "Vêtements"
351856.78 6789432.42 "Vêtements"
351861.96 6789444.12 "Vêtements"
351838.11 6789433.07 "Vêtements"
351838.11 6789433.07 "Vêtements"
353602.31 6790928 "Pharmacies"
