"x" "y" "pop"
346202.11045 6790631.28 20
346203.39045 6792843.34 5
346203.54045 6790963.48 4
346204.75045 6790402.78 6
346204.98045 6790312.31 26
346205.26045 6790529.38 3
346205.49045 6790196.71 2
346205.94045 6790132.77 1
346206.68045 6790884.42 4
346209.78045 6790510.95 1
346210.82045 6790772.88 4
346212.54045 6790660.02 3
346213.78045 6790227.12 3
346216.48045 6790855.42 5
346217.01045 6790562.52 14
346218.33046 6787433.82 2
346219.89045 6790955.38 2
346221.73045 6790799.18 5
346222.85045 6790284.83 2
346223.15045 6790386.96 2
346224.86045 6790715.24 1
346225.80045 6790274.54 2
346226.43045 6790246.26 5
346226.53045 6793298.36 3
346226.61045 6790157.5 2
346227.50045 6790665.3 1
346227.70045 6793915.77 2
346228.46045 6790222.95 2
346230.70045 6790319.13 3
346231.04045 6790732.89 5
346231.98045 6790859.82 6
346233.74045 6790123.12 2
346235.18045 6790844.15 2
346236.15045 6790299.41 2
346237.64045 6790949.39 4
346238.20045 6790351.29 3
346238.25045 6790774.77 1
346239.01045 6790217.62 6
346244.68045 6793838.34 1
346244.69045 6790524.7 4
346244.79045 6790168.11 4
346246.77045 6790235.72 2
346250.39045 6790813.19 2
346251.31046 6787881.44 1
346252.02045 6790644.63 1
346253.31045 6790212.8 2
346253.63045 6790250.91 1
346254.71046 6787760.93 1
346258.84045 6790094.3 5
346260.62045 6790288.6 2
346262.08045 6790826.96 4
346262.86045 6793789.7 4
346263.24045 6790716.66 2
346264.74045 6790586.9 6
346266.37045 6790559.82 2
346266.75046 6787867.79 6
346268.84045 6790731.76 2
346269.22045 6790527.14 3
346270.34045 6790639.94 2
346270.45045 6790213.73 3
346270.64045 6790603.44 4
346270.73045 6790538.31 2
346272.29045 6793924.03 4
346275.07045 6790845.85 4
346275.09045 6790901.53 3
346276.30045 6790828.86 4
346276.48045 6793747.65 2
346277.13045 6790917.09 3
346280.06045 6790713.51 1
346280.11045 6793859.48 4
346280.77045 6790312.59 1
346281.10045 6790148.88 2
346281.47045 6790724 2
346281.49045 6790530.71 2
346282.73045 6790742.79 5
